timestamp, utilization.gpu [%]
2025/01/16 13:40:51.914, 0 %
2025/01/16 13:40:52.124, 0 %
2025/01/16 13:40:52.324, 0 %
2025/01/16 13:40:52.524, 0 %
2025/01/16 13:40:52.725, 0 %
2025/01/16 13:40:52.925, 0 %
2025/01/16 13:40:53.125, 0 %
2025/01/16 13:40:53.325, 0 %
2025/01/16 13:40:53.525, 0 %
2025/01/16 13:40:53.725, 0 %
2025/01/16 13:40:53.925, 0 %
2025/01/16 13:40:54.126, 0 %
2025/01/16 13:40:54.326, 0 %
2025/01/16 13:40:54.526, 0 %
2025/01/16 13:40:54.726, 0 %
2025/01/16 13:40:54.926, 0 %
2025/01/16 13:40:55.126, 0 %
2025/01/16 13:40:55.326, 0 %
2025/01/16 13:40:55.527, 0 %
2025/01/16 13:40:55.727, 0 %
2025/01/16 13:40:55.927, 0 %
2025/01/16 13:40:56.127, 0 %
2025/01/16 13:40:56.327, 0 %
2025/01/16 13:40:56.527, 0 %
2025/01/16 13:40:56.727, 0 %
2025/01/16 13:40:56.928, 0 %
2025/01/16 13:40:57.128, 0 %
2025/01/16 13:40:57.328, 0 %
2025/01/16 13:40:57.528, 0 %
2025/01/16 13:40:57.728, 0 %
2025/01/16 13:40:57.928, 0 %
2025/01/16 13:40:58.129, 0 %
2025/01/16 13:40:58.329, 0 %
2025/01/16 13:40:58.529, 0 %
2025/01/16 13:40:58.729, 1 %
2025/01/16 13:40:58.929, 0 %
2025/01/16 13:40:59.129, 0 %
2025/01/16 13:40:59.329, 0 %
2025/01/16 13:40:59.530, 0 %
2025/01/16 13:40:59.730, 2 %
2025/01/16 13:40:59.930, 0 %
2025/01/16 13:41:00.130, 0 %
2025/01/16 13:41:00.330, 0 %
2025/01/16 13:41:00.530, 0 %
2025/01/16 13:41:00.730, 2 %
2025/01/16 13:41:00.931, 0 %
2025/01/16 13:41:01.131, 0 %
2025/01/16 13:41:01.331, 0 %
2025/01/16 13:41:01.531, 0 %
2025/01/16 13:41:01.731, 2 %
2025/01/16 13:41:01.931, 0 %
2025/01/16 13:41:02.132, 0 %
2025/01/16 13:41:02.332, 0 %
2025/01/16 13:41:02.532, 0 %
2025/01/16 13:41:02.732, 2 %
2025/01/16 13:41:02.932, 0 %
2025/01/16 13:41:03.132, 0 %
2025/01/16 13:41:03.332, 0 %
2025/01/16 13:41:03.533, 0 %
2025/01/16 13:41:03.733, 0 %
2025/01/16 13:41:03.933, 0 %
2025/01/16 13:41:04.133, 0 %
2025/01/16 13:41:04.333, 0 %
2025/01/16 13:41:04.533, 0 %
2025/01/16 13:41:04.733, 0 %
2025/01/16 13:41:04.933, 0 %
2025/01/16 13:41:05.134, 0 %
2025/01/16 13:41:05.334, 0 %
2025/01/16 13:41:05.534, 0 %
2025/01/16 13:41:05.734, 0 %
2025/01/16 13:41:05.934, 0 %
2025/01/16 13:41:06.134, 0 %
2025/01/16 13:41:06.334, 0 %
2025/01/16 13:41:06.535, 0 %
2025/01/16 13:41:06.735, 0 %
2025/01/16 13:41:06.935, 0 %
2025/01/16 13:41:07.135, 0 %
2025/01/16 13:41:07.335, 0 %
2025/01/16 13:41:07.535, 0 %
2025/01/16 13:41:07.736, 0 %
2025/01/16 13:41:07.936, 0 %
2025/01/16 13:41:08.136, 0 %
2025/01/16 13:41:08.336, 0 %
2025/01/16 13:41:08.536, 0 %
2025/01/16 13:41:08.737, 0 %
2025/01/16 13:41:08.937, 0 %
2025/01/16 13:41:09.137, 0 %
2025/01/16 13:41:09.337, 0 %
2025/01/16 13:41:09.537, 0 %
2025/01/16 13:41:09.737, 0 %
2025/01/16 13:41:09.938, 0 %
2025/01/16 13:41:10.138, 0 %
2025/01/16 13:41:10.338, 0 %
2025/01/16 13:41:10.538, 0 %
2025/01/16 13:41:10.738, 0 %
2025/01/16 13:41:10.939, 0 %
2025/01/16 13:41:11.139, 0 %
2025/01/16 13:41:11.339, 0 %
