timestamp, utilization.gpu [%]
2025/01/21 17:48:48.940, 17 %
2025/01/21 17:48:49.140, 0 %
2025/01/21 17:48:49.340, 24 %
2025/01/21 17:48:49.540, 24 %
2025/01/21 17:48:49.740, 0 %
2025/01/21 17:48:49.940, 1 %
2025/01/21 17:48:50.141, 47 %
2025/01/21 17:48:50.341, 0 %
2025/01/21 17:48:50.541, 0 %
2025/01/21 17:48:50.741, 49 %
2025/01/21 17:48:50.941, 0 %
2025/01/21 17:48:51.141, 0 %
2025/01/21 17:48:51.341, 47 %
2025/01/21 17:48:51.542, 0 %
2025/01/21 17:48:51.742, 0 %
2025/01/21 17:48:51.942, 0 %
2025/01/21 17:48:52.142, 0 %
2025/01/21 17:48:52.342, 0 %
2025/01/21 17:48:52.542, 0 %
2025/01/21 17:48:52.742, 0 %
2025/01/21 17:48:52.943, 0 %
2025/01/21 17:48:53.143, 48 %
2025/01/21 17:48:53.343, 0 %
2025/01/21 17:48:53.543, 0 %
2025/01/21 17:48:53.743, 26 %
2025/01/21 17:48:53.943, 22 %
2025/01/21 17:48:54.144, 0 %
2025/01/21 17:48:54.344, 0 %
2025/01/21 17:48:54.544, 49 %
2025/01/21 17:48:54.744, 0 %
2025/01/21 17:48:54.944, 0 %
2025/01/21 17:48:55.145, 48 %
2025/01/21 17:48:55.345, 48 %
2025/01/21 17:48:55.545, 0 %
2025/01/21 17:48:55.745, 0 %
2025/01/21 17:48:55.945, 0 %
2025/01/21 17:48:56.147, 0 %
2025/01/21 17:48:56.347, 0 %
2025/01/21 17:48:56.547, 0 %
2025/01/21 17:48:56.748, 0 %
2025/01/21 17:48:56.948, 49 %
2025/01/21 17:48:57.148, 0 %
2025/01/21 17:48:57.349, 0 %
2025/01/21 17:48:57.549, 1 %
2025/01/21 17:48:57.749, 34 %
2025/01/21 17:48:57.949, 12 %
2025/01/21 17:48:58.150, 16 %
2025/01/21 17:48:58.350, 21 %
2025/01/21 17:48:58.550, 25 %
2025/01/21 17:48:58.750, 25 %
2025/01/21 17:48:58.950, 19 %
2025/01/21 17:48:59.151, 18 %
2025/01/21 17:48:59.351, 26 %
2025/01/21 17:48:59.551, 26 %
2025/01/21 17:48:59.751, 15 %
2025/01/21 17:48:59.951, 23 %
2025/01/21 17:49:00.151, 25 %
2025/01/21 17:49:00.351, 24 %
2025/01/21 17:49:00.552, 13 %
2025/01/21 17:49:00.752, 25 %
2025/01/21 17:49:00.952, 19 %
2025/01/21 17:49:01.152, 24 %
2025/01/21 17:49:01.352, 24 %
2025/01/21 17:49:01.552, 24 %
2025/01/21 17:49:01.752, 15 %
2025/01/21 17:49:01.953, 19 %
2025/01/21 17:49:02.153, 6 %
2025/01/21 17:49:02.353, 25 %
2025/01/21 17:49:02.553, 25 %
2025/01/21 17:49:02.753, 25 %
2025/01/21 17:49:02.954, 20 %
2025/01/21 17:49:03.154, 25 %
2025/01/21 17:49:03.354, 25 %
2025/01/21 17:49:03.554, 25 %
2025/01/21 17:49:03.754, 13 %
2025/01/21 17:49:03.955, 25 %
2025/01/21 17:49:04.155, 13 %
2025/01/21 17:49:04.355, 25 %
2025/01/21 17:49:04.556, 25 %
2025/01/21 17:49:04.756, 25 %
2025/01/21 17:49:04.956, 24 %
2025/01/21 17:49:05.156, 14 %
2025/01/21 17:49:05.356, 13 %
2025/01/21 17:49:05.556, 13 %
2025/01/21 17:49:05.757, 24 %
2025/01/21 17:49:05.957, 14 %
2025/01/21 17:49:06.157, 14 %
2025/01/21 17:49:06.357, 25 %
2025/01/21 17:49:06.557, 13 %
2025/01/21 17:49:06.757, 13 %
2025/01/21 17:49:06.957, 25 %
2025/01/21 17:49:07.158, 18 %
2025/01/21 17:49:07.358, 28 %
2025/01/21 17:49:07.558, 24 %
2025/01/21 17:49:07.758, 25 %
2025/01/21 17:49:07.958, 25 %
2025/01/21 17:49:08.158, 24 %
2025/01/21 17:49:08.358, 24 %
2025/01/21 17:49:08.559, 14 %
2025/01/21 17:49:08.759, 24 %
2025/01/21 17:49:08.959, 14 %
2025/01/21 17:49:09.159, 25 %
2025/01/21 17:49:09.359, 22 %
2025/01/21 17:49:09.559, 13 %
2025/01/21 17:49:09.760, 13 %
2025/01/21 17:49:09.960, 25 %
2025/01/21 17:49:10.160, 25 %
2025/01/21 17:49:10.360, 25 %
2025/01/21 17:49:10.560, 24 %
2025/01/21 17:49:10.760, 14 %
2025/01/21 17:49:10.961, 25 %
2025/01/21 17:49:11.161, 13 %
2025/01/21 17:49:11.362, 25 %
2025/01/21 17:49:11.562, 25 %
2025/01/21 17:49:11.762, 21 %
2025/01/21 17:49:11.962, 25 %
2025/01/21 17:49:12.162, 18 %
2025/01/21 17:49:12.362, 20 %
2025/01/21 17:49:12.563, 25 %
2025/01/21 17:49:12.763, 25 %
2025/01/21 17:49:12.963, 11 %
2025/01/21 17:49:13.163, 14 %
2025/01/21 17:49:13.363, 25 %
2025/01/21 17:49:13.563, 13 %
2025/01/21 17:49:13.763, 14 %
2025/01/21 17:49:13.964, 16 %
2025/01/21 17:49:14.164, 18 %
2025/01/21 17:49:14.364, 17 %
2025/01/21 17:49:14.564, 25 %
2025/01/21 17:49:14.764, 25 %
2025/01/21 17:49:14.964, 19 %
2025/01/21 17:49:15.165, 19 %
2025/01/21 17:49:15.365, 25 %
2025/01/21 17:49:15.565, 25 %
2025/01/21 17:49:15.765, 13 %
2025/01/21 17:49:15.965, 26 %
2025/01/21 17:49:16.165, 24 %
2025/01/21 17:49:16.366, 25 %
2025/01/21 17:49:16.566, 13 %
2025/01/21 17:49:16.766, 18 %
2025/01/21 17:49:16.966, 18 %
2025/01/21 17:49:17.166, 20 %
2025/01/21 17:49:17.367, 18 %
2025/01/21 17:49:17.567, 20 %
2025/01/21 17:49:17.767, 26 %
2025/01/21 17:49:17.967, 25 %
2025/01/21 17:49:18.167, 25 %
2025/01/21 17:49:18.367, 13 %
2025/01/21 17:49:18.568, 22 %
2025/01/21 17:49:18.768, 16 %
2025/01/21 17:49:18.968, 16 %
2025/01/21 17:49:19.168, 18 %
2025/01/21 17:49:19.368, 19 %
2025/01/21 17:49:19.568, 24 %
2025/01/21 17:49:19.768, 15 %
2025/01/21 17:49:19.969, 22 %
2025/01/21 17:49:20.169, 16 %
2025/01/21 17:49:20.369, 25 %
2025/01/21 17:49:20.569, 13 %
2025/01/21 17:49:20.769, 19 %
2025/01/21 17:49:20.969, 19 %
2025/01/21 17:49:21.170, 24 %
2025/01/21 17:49:21.370, 21 %
2025/01/21 17:49:21.570, 25 %
2025/01/21 17:49:21.770, 24 %
2025/01/21 17:49:21.970, 18 %
2025/01/21 17:49:22.170, 21 %
2025/01/21 17:49:22.370, 24 %
2025/01/21 17:49:22.571, 14 %
2025/01/21 17:49:22.771, 25 %
2025/01/21 17:49:22.971, 25 %
2025/01/21 17:49:23.171, 13 %
2025/01/21 17:49:23.371, 25 %
2025/01/21 17:49:23.571, 25 %
2025/01/21 17:49:23.771, 13 %
2025/01/21 17:49:23.972, 13 %
2025/01/21 17:49:24.172, 26 %
2025/01/21 17:49:24.372, 25 %
2025/01/21 17:49:24.572, 25 %
2025/01/21 17:49:24.772, 14 %
2025/01/21 17:49:24.972, 24 %
2025/01/21 17:49:25.173, 25 %
2025/01/21 17:49:25.373, 19 %
2025/01/21 17:49:25.573, 21 %
2025/01/21 17:49:25.773, 20 %
2025/01/21 17:49:25.973, 20 %
2025/01/21 17:49:26.173, 18 %
2025/01/21 17:49:26.373, 13 %
2025/01/21 17:49:26.574, 25 %
2025/01/21 17:49:26.774, 18 %
2025/01/21 17:49:26.974, 20 %
2025/01/21 17:49:27.174, 26 %
2025/01/21 17:49:27.374, 23 %
2025/01/21 17:49:27.574, 16 %
2025/01/21 17:49:27.774, 24 %
2025/01/21 17:49:27.975, 14 %
2025/01/21 17:49:28.175, 26 %
2025/01/21 17:49:28.375, 22 %
2025/01/21 17:49:28.575, 17 %
2025/01/21 17:49:28.775, 13 %
2025/01/21 17:49:28.975, 26 %
2025/01/21 17:49:29.176, 25 %
2025/01/21 17:49:29.376, 26 %
2025/01/21 17:49:29.576, 26 %
2025/01/21 17:49:29.776, 20 %
2025/01/21 17:49:29.976, 18 %
2025/01/21 17:49:30.176, 17 %
2025/01/21 17:49:30.377, 23 %
2025/01/21 17:49:30.577, 26 %
2025/01/21 17:49:30.777, 25 %
2025/01/21 17:49:30.977, 26 %
2025/01/21 17:49:31.177, 13 %
2025/01/21 17:49:31.377, 25 %
2025/01/21 17:49:31.577, 13 %
2025/01/21 17:49:31.778, 25 %
2025/01/21 17:49:31.978, 13 %
2025/01/21 17:49:32.178, 26 %
2025/01/21 17:49:32.378, 24 %
2025/01/21 17:49:32.578, 14 %
2025/01/21 17:49:32.778, 25 %
2025/01/21 17:49:32.979, 14 %
2025/01/21 17:49:33.179, 14 %
2025/01/21 17:49:33.379, 26 %
2025/01/21 17:49:33.579, 16 %
2025/01/21 17:49:33.779, 22 %
2025/01/21 17:49:33.979, 14 %
2025/01/21 17:49:34.179, 22 %
2025/01/21 17:49:34.380, 19 %
2025/01/21 17:49:34.580, 7 %
2025/01/21 17:49:34.780, 26 %
2025/01/21 17:49:34.980, 26 %
2025/01/21 17:49:35.180, 26 %
2025/01/21 17:49:35.380, 25 %
2025/01/21 17:49:35.580, 19 %
2025/01/21 17:49:35.781, 20 %
2025/01/21 17:49:35.981, 19 %
2025/01/21 17:49:36.181, 20 %
2025/01/21 17:49:36.381, 24 %
2025/01/21 17:49:36.581, 14 %
2025/01/21 17:49:36.781, 26 %
2025/01/21 17:49:36.981, 26 %
2025/01/21 17:49:37.182, 22 %
2025/01/21 17:49:37.382, 23 %
2025/01/21 17:49:37.582, 20 %
2025/01/21 17:49:37.782, 13 %
2025/01/21 17:49:37.982, 13 %
2025/01/21 17:49:38.182, 26 %
2025/01/21 17:49:38.382, 26 %
2025/01/21 17:49:38.583, 26 %
2025/01/21 17:49:38.783, 15 %
2025/01/21 17:49:38.983, 23 %
2025/01/21 17:49:39.183, 16 %
2025/01/21 17:49:39.383, 22 %
2025/01/21 17:49:39.583, 16 %
2025/01/21 17:49:39.784, 22 %
2025/01/21 17:49:39.984, 26 %
2025/01/21 17:49:40.184, 13 %
2025/01/21 17:49:40.384, 13 %
2025/01/21 17:49:40.584, 14 %
2025/01/21 17:49:40.784, 24 %
2025/01/21 17:49:40.984, 13 %
2025/01/21 17:49:41.185, 26 %
2025/01/21 17:49:41.385, 26 %
2025/01/21 17:49:41.585, 22 %
2025/01/21 17:49:41.785, 17 %
2025/01/21 17:49:41.985, 25 %
2025/01/21 17:49:42.185, 15 %
2025/01/21 17:49:42.386, 20 %
2025/01/21 17:49:42.586, 19 %
2025/01/21 17:49:42.786, 26 %
2025/01/21 17:49:42.986, 19 %
2025/01/21 17:49:43.186, 7 %
2025/01/21 17:49:43.386, 25 %
2025/01/21 17:49:43.586, 25 %
2025/01/21 17:49:43.787, 26 %
2025/01/21 17:49:43.987, 26 %
2025/01/21 17:49:44.187, 25 %
2025/01/21 17:49:44.387, 22 %
2025/01/21 17:49:44.587, 17 %
2025/01/21 17:49:44.787, 20 %
2025/01/21 17:49:44.988, 19 %
2025/01/21 17:49:45.188, 19 %
2025/01/21 17:49:45.389, 20 %
2025/01/21 17:49:45.589, 14 %
2025/01/21 17:49:45.789, 26 %
2025/01/21 17:49:45.989, 26 %
2025/01/21 17:49:46.189, 14 %
2025/01/21 17:49:46.389, 13 %
2025/01/21 17:49:46.590, 25 %
2025/01/21 17:49:46.790, 25 %
2025/01/21 17:49:46.990, 14 %
2025/01/21 17:49:47.190, 26 %
2025/01/21 17:49:47.390, 26 %
2025/01/21 17:49:47.590, 14 %
2025/01/21 17:49:47.791, 13 %
2025/01/21 17:49:47.991, 26 %
2025/01/21 17:49:48.191, 22 %
2025/01/21 17:49:48.391, 17 %
2025/01/21 17:49:48.591, 24 %
2025/01/21 17:49:48.791, 7 %
2025/01/21 17:49:48.991, 20 %
2025/01/21 17:49:49.192, 26 %
2025/01/21 17:49:49.392, 13 %
2025/01/21 17:49:49.592, 26 %
